,station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
83,84,BC086,118.38,38.82,83.4,27.2,75.435,17.484,0.266,27.145,0.154,32.6,11.38,24.32,57.26,18.43,6.22,29.06
84,85,BC087,118.47,38.82,135.129,46.462,120.701,21.692,0.313,34.1,0.098,55.3,12.52,51.11,48.89,0.0,8.23,29.68
85,86,BC088,118.52,38.82,72.035,27.293,70.266,23.058,0.233,32.417,0.052,30.1,11.5,13.8,31.19,55.01,4.2,30.07
86,87,BC089,118.56,38.82,87.721,30.397,82.959,14.724,0.198,26.796,0.122,35.5,12.2,21.32,48.98,29.7,5.73,30.43
87,88,BC090,118.63,38.82,95.391,33.574,77.399,22.71,0.255,30.482,0.032,36.4,11.04,20.36,56.38,23.26,5.84,29.25
88,89,BC091,118.68,38.82,58.913,28.141,62.059,14.847,0.213,27.684,0.07,29.9,11.56,13.43,36.62,49.95,4.46,30.06
89,90,BC092,118.72,38.82,99.475,33.127,91.886,15.816,0.183,27.989,0.03,37.6,12.32,24.24,52.36,23.41,6.04,31.8
90,91,BC093,118.79,38.82,64.062,27.047,70.589,9.48,0.156,21.953,0.148,42.1,12.23,31.69,68.24,0.07,7.32,32.45
91,92,BC094,118.84,38.82,94.409,41.591,103.068,12.649,0.177,26.686,0.156,48.1,12.54,17.13,38.96,43.92,5.14,33.08
92,93,BC095,118.88,38.82,90.891,30.459,80.552,11.083,0.258,29.635,0.124,32.9,12.13,15.32,34.7,49.98,4.55,30.8
93,94,BC096,118.93,38.82,47.11,16.871,49.834,7.354,0.128,19.615,0.146,20.1,11.15,9.59,22.31,68.1,3.71,28.88
94,95,BC097,118.98,38.82,55.552,20.062,58.808,8.436,0.126,23.016,0.119,25.8,11.52,14.43,34.03,51.55,4.4,28.49
95,96,BC098,118.26,38.8,114.807,41.234,115.045,14.539,0.362,34.298,0.174,48.5,12.46,29.36,70.64,0.0,7.21,26.97
96,97,BC099,118.31,38.8,116.47,44.579,115.776,18.547,0.324,32.318,0.149,50.1,12.77,30.39,69.61,0.0,7.26,28.57
